ID,Title,Poster,Description,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Audio Description,English Subtitles,Spanish Subtitles
57,Cinema Bandi,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW0glwT1QL46WdANTwUYBCTWP-kVkBrhDztHsczGQ6fan54RFvbJJKDXxi7-m4_V3TBAx6ZTB1m75-ZSdxp7Wd6XtIJe.jpg?r=27d,A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,2021,all,60/100,1,0,0,0,0,0,1,0
58,Clash,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdj6UrCg9uKWV9dym7NQPgfNbchqbShraeRsF4rvNcftk0dlRZqOfrYAzdbl9mRrPUmYGZDleDor-HmqRbZoHhWIGlrD.jpg?r=adc,"When the patriarch of an emigrant Nigerian family visits their female-led Canadian home, traditional values collide with newer ones.",2021,,44/100,1,0,0,0,0,0,1,0
59,Cold Case,https://m.media-amazon.com/images/M/MV5BNWFmZGM3NGYtMzIxZC00NTIwLThkNDEtNGNkODIwNjQzZjFkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,"Medha Padmaja, a journalist and single mother, moves into a new home with her little daughter, where she experiences paranormal activities.",2021,,53/100,0,0,1,0,0,0,1,0
60,Coming 2 America,https://m.media-amazon.com/images/M/MV5BZTMyY2Q2MDctMDFlMS00MWEzLTk1NmEtNDcxNzg1ZGJlNGU5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,"Needing a male heir to the throne, Prince Akeem returns to New York, to find his long-lost son and bring him back to Zamunda.",2021,13+,70/100,0,0,1,0,0,1,1,1
61,Cosmic Sin,https://occ-0-1381-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSNxVbTFXI5VRzMr7AXWUFE1o1SYVx4Ko8tvVEBnRdM6u4ASA3a0OEJ3xrPNpQJfDrFe1Co90KRxPdyrii59pbyiS5k7.jpg?r=81c,"In the year 2524, a disgraced retired general is called back into combat to help prevent an interstellar war against a hostile alien fleet.",2021,18+,56/100,1,0,0,0,0,0,1,0
62,Cousins,https://occ-0-1642-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRkjIOKqkJQYnwY3o2ysxX5tSdRXNDKJ0ND65Bp3sC38eFT2moyHWchMVf9vTOYq5PSs-hsu9pyiitOByUczxeMXy0rL.jpg?r=b6d,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other.",2021,18+,56/100,1,0,0,0,0,0,1,0
63,"Crack: Cocaine, Corruption & Conspiracy",https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSPixkfL_f1qjAshCWmpgYg3A5Jph7ZJo5Phse71mLRKRncZ8h2eWPVpM5RxaD2hKaCO6oSofDU3EKGokFJaApAmLmezB48CPEJ6en9G70TgsGj2-Cb_9yNVeEGIPw.jpg?r=1fc,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",2021,18+,60/100,1,0,0,0,0,1,1,1
64,Crazy About Her,https://occ-0-2101-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbxD1rVy2QmSb26o9a8928MYEji6YuU0v5AluQpSLZvNA_d6hh2pTcT-Pg2j3acsXc4P3pu5hlwqjVRt5FeajWgJzh_kzIyt_pi3xoAv6FF89rf7DZMKWZdZls9RqQ.jpg?r=68d,"After spending a wild night together, Adri discovers the only way to see Carla again is to become a patient at the psychiatric center where she resides.",2021,18+,58/100,1,0,0,0,0,0,1,0
65,Creating an Army of the Dead,https://occ-0-2688-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABds_4q3Au6uIy8Ni5ePpiNqx_8Fq1tieQc6CnK6O238Iq9QneUTrAyY1LnMd53v2GFvLX1FEbxL2hI4b3vBpSbG_P_u6wmBYltde3Js3UWI99HY98ybWhECCsDS1YA.jpg?r=c3c,"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre.",2021,18+,52/100,1,0,0,0,0,1,1,1
66,D.O.D.: Day of Destiny,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRqetwNUuHFy5serk8hazmRIIszcbSyptGSTmmSXMaS7XfaJcXT41QPtDQAyPBuN9scAGRiX03GgLkClh3o3sWWL26Cr.jpg?r=f66,"With their family facing financial woes, two teen brothers seize an opportunity to reverse their bad fortunes by traveling 20 years back in time.",2021,,16/100,1,0,0,0,0,0,1,1
67,Dancing Queens,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSiNYbFHenWkTK-AAGtPlIJShyFBBfRooqxfgTDMy8Gp6MKRyilNHFvFAU9H68gk2O2wWj8aVHLHm7cTyFEQIli4oFDRtu9bNsUzGCLEhGNJFMHZQhVECpuf6UGKqA.jpg?r=fd2,"A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",2021,,55/100,1,0,0,0,0,0,1,1
68,Dark Web: Cicada 3301,https://m.media-amazon.com/images/M/MV5BMDkyNTliN2YtNDI1My00OTMyLWE1ZDctOTJiYjIxN2Q0NmM5XkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_.jpg,A hacker and a cunning librarian soon find themselves in over their heads when they compete in a sophisticated dark web secret society's global recruitment game.,2021,18+,56/100,0,1,0,0,0,0,1,0
69,Deadly Illusions,https://occ-0-4039-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSNAuCr59X2Az1ZLleKBcZWzcHp5gvKfK3mq_hCsDD3pP4V7BslQFpVegx7eY702ZvGdIJgiOjM6u0jUMAkwriw52MRN.jpg?r=14c,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",2021,16+,50/100,1,0,0,0,0,0,1,1
70,Deep,https://occ-0-3607-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbxZYdp2Lcd0cvMLe5jLjXCosoJ82cIe9pCiq3rwd_NLHvusFgeOUmHQXklocuwRbCZ4j0bCMopuicrGhJYoLuQflfKnfE9kvO0hnPomJgJM6P52eYntpWFJu6ehnQ.jpg?r=db4,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control — and must find a way out before it’s too late.,2021,18+,56/100,1,0,0,0,0,0,1,1
71,Dinner Is Served,https://image.tmdb.org/t/p/w500/rqE2EBeSkJS2n107jvTTf6T6Hz3.jpg,A Chinese student at an elite U.S. boarding school realizes excellence is not enough when he tries out for a leadership position no international student has ever applied for.,2021,,48/100,0,0,0,1,0,1,1,1
72,Disney My Music Story: Sukima Switch,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/45AD044B8F803BBBCBAC930C79375191E712F0A314CCC314C6E9C11B635A267F/scale?width=600&format=jpeg,Sukima Switch share their thoughts on music.,2021,16+,16/100,0,0,0,1,0,0,1,0
73,Dolly Parton: A MusiCares Tribute,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRj3F_FtS5h_c0IO1oOnWjl1kxcofdAgI12YWqaLAQBSFB8Tf4JqBaA61w_bOGFsURsNVsESc6Bl9pffbOZ1z0yfP8lW-QQ2u_yN1EsOZiEBOfoqnboX07W-pF3Fgg.jpg?r=2a2,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.",2021,7+,49/100,1,0,0,0,0,1,1,1
74,Double Dad,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfx1OfH4Zp1Z7EdzRf9GO128S_sS-1P5oEaqeWoEg-XVbFdomPQASBevdrQ1aonyWb32epP1xFi9vtANrrY36TPzEMw0QSRA70XlXHRuPvRYerYvx3YXf6kqfuUxFw.jpg?r=2b7,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",2021,,50/100,1,0,0,0,0,0,1,1
75,Dr. Bird's Advice for Sad Poets,https://m.media-amazon.com/images/M/MV5BMGVjZmU2ZTQtNTFhYi00ZjFlLThlYzMtZTA3OTM5Y2UzODBjXkEyXkFqcGdeQXVyMTIzNzM0OTU@._V1_.jpg,A 16-year-old seeks advice from an imaginary pigeon therapist to overcome anxiety and depression after his sister's disappearance.,2021,18+,51/100,0,1,0,0,0,0,1,0
76,Dreamcatcher,https://m.media-amazon.com/images/M/MV5BZDU3NmM3NDYtMTBhNC00YTBhLThjYzMtZmMzYzllMTQ5NjI2XkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_.jpg,A masked killer terrorises a disc jockey and a group of friends at an underground music festival in a 48-hour frenzy of violence and mayhem.,2021,,47/100,0,1,0,0,0,0,1,0
77,Dynasty Warriors,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQGuM4bZG_q5yXpeaYbo15204QkWwTLaQK0Uxf0xTw97Cxgm4kib6Vfor6B8SjtFJP4OmPbxII9zHwVGbAx05xZG1C9pZ_cRns3bb7LPf3mxZCgTaKu-oCeX1AWPPg.jpg?r=81b,"Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms.""",2021,,56/100,1,0,0,0,0,0,1,1
78,Emicida: AmarElo â€“ Live in SÃ£o Paulo,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV35QUDlfI5qDuN-dVP0s1IA2luKn3KUGSKIr6953CVpOdoeGOgI4J_hpdsFJfSBrY0v6FG-gbEq15Dpk6i3cmJwHnHi6viFEqmPs_xhJmxjh5Vu02RcNFDlRO3RpQ.jpg?r=983,"Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo.""",2021,,46/100,1,0,0,0,0,0,1,1
79,Ester Steinberg Burning Bush,https://images-na.ssl-images-amazon.com/images/I/91HPzc622sS._RI_.jpg,"Comedian Ester Steinberg jokes about a risqué photo shoot, a wild bachelorette weekend, and shares stories from her first year of marriage.",2021,13+,38/100,0,0,1,0,0,0,1,0
80,Expiry,https://m.media-amazon.com/images/M/MV5BYTJmOGQ5ZTEtOTdjYi00ZmY5LTk3MzctYzUxZDk5NmVlMTFmXkEyXkFqcGdeQXVyMjg0MzA5NQ@@._V1_.jpg,"A couple living in a dystopian society that regulates relationships wake up one morning to find they are no longer allowed to touch. Determined to stay together, they must search for a way to defy the system that controls their lives.",2021,,46/100,0,0,1,0,0,0,1,0
81,False Positive,https://upload.wikimedia.org/wikipedia/en/4/42/False_Positive_poster.jpg,"Lucy and Adrian find their dream fertility doctor in the illustrious Dr. Hindle. But after becoming pregnant, Lucy begins to notice something sinister behind Hindle's charm, and she sets out to uncover the unsettling truth about him.",2021,18+,59/100,0,1,0,0,0,1,1,1
82,Family Seductions,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABZswhprjUepcJ_DNa4Ll8pUcLJ3hC5nXvYl__zNROmC2KUrSp0MVc_lPzDm04HqxMYGYb1rttnJJ_-qOZVZykV6QbXSdwZiqpTAYYxtJ3DoTyNO8ug.jpg?r=acc,"After a business owner starts receiving online threats, doubts and paranoia creep in when she reconnects with a former flame and meets a new client.",2021,,49/100,1,0,0,0,0,0,1,0
83,Fatherhood,https://occ-0-4922-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfqooPkkA0j8vOnZTBEfNUX55MIwp8v7scWkm7DJt2BnNP2--ohNW12_aq9oyX8cQZUpVCX8umAJ-UgEWuVwsEJkMrQFcvT9i9kxNdRjGgtjK278FLjpEvfLPyY_6w.jpg?r=8a7,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",2021,13+,69/100,1,0,0,0,0,1,1,1
84,Fear of Rain,https://m.media-amazon.com/images/M/MV5BNjMyYmRiYmEtMjVjOC00ZGU2LThkZWEtOWIyYWQzMWZkODg3XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,"Rain has early-onset schizophrenia, a condition that not only causes her to see vivid hallucinations, but also puts a strain on her parents. When she meets Caleb, a charmingly awkward new student at school, she finally feels she has a lifeline to normalcy. But as Rain starts to suspect that her neighbor kidnapped a child, she must soon figure out who and what is real while also battling the overwhelming forces that haunt her daily life.",2021,13+,64/100,0,1,0,0,0,0,1,0
85,Fear Street Part Two: 1978,https://occ-0-3419-3418.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABajg66GV4lzw2lutQWciVPcGjtIX67riEpyrrTQXVl2O1wbyNRZCPIjnV2v1obJu8gGyoso7n1unYV_qAjMjCT74nh_2rVrUPAEwPxjxs5wfEjdC7yk3btoiLWmyyQ.jpg?r=a9b,"In the cursed town of Shadyside, a killer's murder spree terrorizes Camp Nightwing and turns a summer of fun into a gruesome fight for survival.",2021,18+,73/100,1,0,0,0,0,1,1,1
86,Fear Street: 1666,https://occ-0-3607-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABazZ2NNuEA_jRKNAvKQpI3RY-zf10GzpeFYPALRftkhhWuzAmkfRktkRLAueAeGYuUHDztQKR0Y89-EcQ0lxDj53WL06mQyZ8rxUNZWNeBF2IsJhjG7GR1GOLYJacw.jpg?r=655,"Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives — and Shadyside’s future.",2021,18+,70/100,1,0,0,0,0,1,1,1
87,Fear Street: 1994,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTHBySrq6xJ_ADC2Ao9AWwiaOSYoYgTL5XbZxkV18cBgUC6zkkff1ClHrIqrb5xWAYG99TVjgMJ5quqbcZSZpFvcwPzkRvF4ewv9dzJDpVvEuohZMwS4QBiPutFlSg.jpg?r=cd4,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries. Welcome to Shadyside.",2021,,69/100,1,0,0,0,0,1,1,1
88,Ferry,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABctKh6VgGC8Yo4qtYBbv_JxZc_HBXi2xGq5UM6hBGilztmoKv__rdUxhQopj_2WPG6A0Rx_Psy40K-cpIJ9Ye2JVpyU21CFSqTV9vL2QN3a7azJ9BdakAUXq_DvbJg.jpg?r=dc0,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life.",2021,18+,66/100,1,0,0,0,0,0,1,1
89,Finding 'Ohana,https://occ-0-3419-3418.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVBsVPSq4eEnR3k5fgCNfgYSzfw2fYpW_8mPKoL8EJ9ag4ITHhABpQdAJPM1y3VOHwfiUoUDxD-WgFf0Q1IrZOKYD_EM8vEHRi-_00-mdtlf_z86dXxWzVp_mwR5NQ.jpg?r=8af,"In Oʻahu for the summer, two siblings from Brooklyn connect with their Hawaiian heritage — and their family — on a daring quest for long-lost treasure.",2021,7+,62/100,1,0,0,0,0,1,1,1
90,Fishbowl,https://m.media-amazon.com/images/M/MV5BOGZjYTgwNDgtYmUyZS00NDA1LWIzNWMtMTdhODAyNjMxOGYwXkEyXkFqcGdeQXVyNTYwMTIxMzk@._V1_FMjpg_UX1000_.jpg,"In a small town filled with secrets, three sisters are forced to cling to each other as they cope with loss and a father who's growing increasingly obsessed with the rapture he thinks is coming.",2021,,35/100,0,0,1,0,0,0,1,0
91,Flora & Ulysses,https://lumiere-a.akamaihd.net/v1/images/p_floraandulysses_disneyplus_20756_819c84cb.jpeg,An imaginative and creative 10-year old cynic never could have predicted that her little squirrel would be born anew as a superhero and have the uncanny knack for helping her and the lovable but broken people in her life.,2021,7+,62/100,0,0,0,1,0,1,1,1
92,Framing Britney Spears,https://upload.wikimedia.org/wikipedia/en/0/03/Framing_Britney_Spears_poster.jpg,People close to Britney Spears and lawyers tied to her conservatorship reassess her phenomenal career as she battles her father in court.,2021,16+,64/100,0,1,0,0,0,0,0,0
93,GameStopped,https://m.media-amazon.com/images/M/MV5BYTdiZDg2NmMtNGQzMi00OTY4LWFmMDktODRmZmNkMDc2YWNiXkEyXkFqcGdeQXVyNDg3OTI2Mw@@._V1_.jpg,"An in-depth look at the GameStop cultural phenomenon and its impact on everyday investors; with Robinhood CEO Vladimir Tenev, as well as Mark Cuban, Jim Cramer, and Dave Portnoy.",2021,,41/100,0,1,0,0,0,0,0,0
94,Gatao: The Last Stray,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR_aWGmauA54Z7Fy0Zk7pjYaJ1QEFhu-7FsSiF78mH4i8uj4UwbBPxS-V7t78SzxkzTL9YO2szA7JV88jzCfFAkUB0JC.jpg?r=fae,Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.,2021,,44/100,1,0,0,0,0,0,1,1
95,Geez & Ann,https://occ-0-2101-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbpf-NQ3R9tiJ_T7QOqZUbelepG62Y9eBoy5YQecuSqU0rJC1Dssv-x73RY8L4Qn5aae8IOeRPzJYHBiJGSWpD-Bz6MyqPtBUv82Yrvqffpdbr1PZOKrrhGhmiC4Qw.jpg?r=aef,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles.",2021,16+,45/100,1,0,0,0,0,0,1,1
96,Get the Goat,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABexnSgwuEhuorMaxkKLTegZGwS-O4uuVXom0tG-5ekV_dLgZk_dVEEhGBST2KqcYOYP6N-U1PvXvOM3Ja6GtXA0ucIdMTx_pVIyoQ9UW_T9tsOOryTx05OR2hrcM-w.jpg?r=989,"Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot.",2021,13+,57/100,1,0,0,0,0,0,1,1
97,Get the Grift,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUh5wAP4QODzW-I8Oe7y5SEFJS5j-CmgGPT0ecEYCrQxHxmyfXPYRBkqodANKWPIhWqnd7j4ED-IOukjlUpD3VypBAXA9OhjD1CDJynBFUjGODQ-HgAcP8FQYi9HTg.jpg?r=1a4,"After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together.",2021,,48/100,1,0,0,0,0,0,1,1
98,Ghost Lab,https://occ-0-4039-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABehua_lNEK7qb5baJmE-3Q5ry8HBT49Ks2wogRzqG1lqhZ_0VMm_CmIxjXj5TbQZCFHh7oFAbavrU9fUyXDjUa-bdY-c3WvKH1qYDvii6pV6jVRoe_leW7kMIG8JeA.jpg?r=13e,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",2021,18+,56/100,1,0,0,0,0,0,1,1
99,Gold Statue,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbKxtkBGIuF2GcrG2_Bw0AYiMPudQbMqKVQkbtdtzZzH35AM80pzfsR_IRUfgKxAda5DG8QhgTgEGUDJ8tIIoV2UST-l.jpg?r=33f,"After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison.",2021,,47/100,1,0,0,0,0,0,1,0
100,Good Grief It's Friday,https://m.media-amazon.com/images/M/MV5BMTdkZDRmNTMtNzczZi00NTgyLWI1NTktNzdkMTRiNDgwN2Q1XkEyXkFqcGdeQXVyMTI5MjcxNjUz._V1_FMjpg_UX1000_.jpg,"In order to keep his practice alive, private investigator Philip Chandler must locate a million dollar necklace and learns that everyone has a secret.",2021,,40/100,0,0,1,0,0,0,1,0
101,Good on Paper,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV6PhhmsLx_AjAROuc2v9EMy2Q4-Dz-Gn63hQGAgrGcp4EFnYRxx_gO4uM6NaWjgg_Qix9IgG-G3quQzxhWuXNOJxwtqXF7ASzzZUf28QKsoJ7BxGe29w8MQrGI1mw.jpg?r=ac8,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful... and possibly too good to be true.",2021,18+,66/100,1,0,0,0,0,1,1,1
102,"Goodbye, Butterfly",https://m.media-amazon.com/images/M/MV5BYjQzYTRiNTUtNGJmOC00YzNiLTkzMTgtNzEzMTgzYTBiNjliXkEyXkFqcGdeQXVyMzIyNDgxNA@@._V1_.jpg,Suspicion turns to obsession when a man starts to think that an oddball neighbour killed a 5-year-old girl.,2021,,49/100,0,0,1,0,0,0,1,0
103,Growing Fangs,https://wikinbio.com/wp-content/uploads/2021/05/Growing-Fangs-watch-online-on-Disney-Plus-Hotstar.jpg,"Val Garcia, a Mexican-American half human/half vampire teenager, struggles to fit in either world.",2021,,49/100,0,0,0,1,0,1,1,1
104,Gun and a Hotel Bible,https://m.media-amazon.com/images/M/MV5BNzU2Yzc5YzgtYWUyNC00ZWRkLWI4M2EtOWJjYTVhNjEyZGFmXkEyXkFqcGdeQXVyNDYwMjE2MDM@._V1_.jpg,"On the verge of committing murder, a man on the edge reconsiders his actions after finding a Bible in a hotel room.",2021,,42/100,0,0,1,0,0,0,1,0
105,Gunpowder Milkshake,https://occ-0-746-1009.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZtu73qVhXKinP2mbu3mVRcplbiL-Y9F6bzN9a1Chw7ptnEom_thwNGvAXTivFY-STz4VhmuhSw70nxxRjnTtz3BqZ-3nj3wxDuSMWHhqLKxymd69D8siaEMXB0FHg.jpg?r=04b,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate — and reunites a gun-wielding sisterhood.",2021,18+,73/100,1,0,0,0,0,1,1,0
106,HÃ©roes. Silencio y Rock & Roll,https://occ-0-3607-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeMKF1U2ddgO0_EZGW4Uxn6Ez_S80PjTnAQOCfI62iAS3Ofd6jfPZx_dc2LtWwDxhkdKWcXK3svaDpLpZstOOfoGFahQ.jpg?r=b67,"An exploration of the rise of Héroes del Silencio, the seminal 1980s Spanish rock band. Anchored by Enrique Bunbury, they focused on a harder sound.",2021,,54/100,1,0,0,0,0,0,1,0
107,Hampton's Legion,https://m.media-amazon.com/images/M/MV5BNmE4NTI2MGEtOTgzYy00NmIyLTkyYWQtODIxNThjNGM2Yzk2XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_FMjpg_UX1000_.jpg,"Wade Hampton III, a wealthy plantation owner, uses personal funds to form his own legion for the American Civil War when the Confederate States seem to struggle with finances.",2021,,42/100,0,0,1,0,0,0,1,0
108,Haseen Dillruba,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWHz55l154DSELSlQZdUyp5M-lO598fxk8W2L-gUloGqNQKZqQ3zvDO8zJbb5YE153FPZ2zJmTDxwuqypFsxcFRr1XdSRrCrIjHgsQutAlmUIGWT9rjUyrXXOB3lrQ.jpg?r=a0a,"Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",2021,18+,65/100,1,0,0,0,0,0,1,1
109,Hate by Dani Rovira,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcBSilRmZ-TgyaD8uxGYm2M27tjTHM4Q73bNG8D1ajR7WZmM7txiUU16Kx0xtHNh8IgI4ECdcpu_XuAHnmQK4buo2-eKATdAFLuClUDwbYfY2BTnucmh3BhaxBYUtw.jpg?r=9af,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special.",2021,,51/100,1,0,0,0,0,0,1,0
110,Have You Ever Seen Fireflies?,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTtySgaKTn1KY06fUV2Y-rtfqkXSl4b0csDygWLoeDdkSxxX1Im7tbKEt7MYW7VUIUaPWFioxWEXjkLmeTwJCUt8X3F03kHwTf6TQB30NFiaiVwoCOOQWwC7I6OxOQ.jpg?r=114,"Rebellious, irreverent wunderkind Gülseren navigates loneliness, love and loss against the current of political turmoil and social change.",2021,16+,55/100,1,0,0,0,0,0,1,1
111,Headspace: Unwind Your Mind,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXreZiVCY-brNE7oAUV3TtG91dbqdPU0AB1z6kOhESsMNsagfp6pWR95nnzaKHvoAAb-PNPMFIO8mgKEOg73eQzp0gXlcGdImNOcl1MBRqu-90WChh11OMvksDBzufKgpcQ5Ok4GAijr63JEquq3KWZdoPOeGxUVAUcNY_m-pXV8lfNZVWNW9J1PMtMlmsg4iLhXAHL_35oKraa6Mn0XDPcjFA.jpg?r=ff3,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special.",2021,all,50/100,1,0,0,0,0,1,1,1
112,Her Name Is Chef,https://m.media-amazon.com/images/M/MV5BNjk2ZDFlN2EtYjE5Yy00MmIzLWI4NmItOWFmNTcwZWM0ODE4XkEyXkFqcGdeQXVyODM0Nzk0NjM@._V1_.jpg,Six talented and inspiring women overcome numerous obstacles to become top chefs in the restaurant industry.,2021,,47/100,0,1,0,0,0,0,1,0
113,Homunculus,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcoLRfD8NmlXZOzW4KB4Bs1aNxuzVe7IWxV9OaHc_EFpWL2IkokQ1yHfzwrD1Utk4uMezMl-l0tRdlVwM_UwIEIdgRw1_zopr3oqcvSUiU8RUnSShFnFZFLREiefOw.jpg?r=973,Truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas.,2021,,53/100,1,0,0,0,0,0,1,1
114,Honesty Weekend,https://m.media-amazon.com/images/M/MV5BOTY4NTk5ZjYtMjEwOC00ODg4LWI0MjYtOWM4ZGE0MGVkZDFlXkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_.jpg,An ensemble relationship comedy about a young couple whose marriage is in crisis. Their therapist prescribes a weekend of total honesty - the same weekend they're going to the country with close friends for a blowout good time.,2021,,38/100,0,0,1,0,0,0,1,0
